spectrum,continuum_subtracted_spectrum,error
3.21753,0.286357,1.05633
5.36118,2.43001,1.09279
4.59798,1.65356,0.997668
2.39816,-0.542477,0.874034
2.33169,-0.608947,0.879538
2.94652,0.014467,0.919811
2.32757,-0.617428,0.962429
3.22893,0.271159,0.958464
3.55199,0.588959,0.993671
2.62497,-0.331364,1.01064
2.1505,-0.811199,1.00319
2.15298,-0.81348,0.965924
2.05736,-0.917217,0.905283
4.06543,1.07927,0.926617
4.3663,1.36888,0.961676
3.03004,0.0326171,0.9826
3.02767,0.0200486,1.0644
2.35533,-0.652291,1.07655
2.66356,-0.354185,1.02634
2.88886,-0.138957,0.941375
2.90156,-0.126257,0.921888
3.34386,0.306282,0.91166
4.13922,1.09189,0.949573
3.75091,0.703581,0.973848
3.55933,0.521752,0.997768
4.06761,1.03003,1.02513
4.16498,1.1274,0.977386
4.40081,1.36855,0.938465
4.69046,1.66264,0.934013
1.92646,-1.1058,0.899173
4.47851,1.44667,0.961703
4.88915,1.85837,0.977858
4.49765,1.46226,1.00043
3.63183,0.59092,0.929543
1.74529,-1.29562,0.914664
